,county,state,d_prop,r_prop,d_votes,r_votes
1,Alpine,California,0.6276422764227643,0.3723577235772358,386.0,229.0
2,Amador,California,0.3545160006820895,0.6454839993179106,6237.0,11356.0
65,Anderson,Texas,0.19643835616438357,0.8035616438356165,2868.0,11732.0
66,Andrews,Texas,0.16809395644727185,0.8319060435527281,687.0,3400.0
70,Armstrong,Texas,0.06696935300794551,0.9330306469920545,59.0,822.0
72,Austin,Texas,0.17394094993581516,0.8260590500641849,1897.0,9009.0
73,Bailey,Texas,0.21928166351606806,0.780718336483932,348.0,1239.0
74,Bandera,Texas,0.1690259877456159,0.8309740122543842,1600.0,7866.0
76,Baylor,Texas,0.10565110565110565,0.8943488943488943,129.0,1092.0
77,Bee,Texas,0.31898984198645597,0.681010158013544,2261.0,4827.0
80,Blanco,Texas,0.23766737138830163,0.7623326286116984,1349.0,4327.0
81,Borden,Texas,0.05029585798816568,0.9497041420118343,17.0,321.0
82,Bosque,Texas,0.15655133295519003,0.84344866704481,1104.0,5948.0
86,Brewster,Texas,0.4873928391326273,0.5126071608673727,1933.0,2033.0
87,Briscoe,Texas,0.09446254071661238,0.9055374592833876,58.0,556.0
88,Brooks,Texas,0.6454741379310345,0.3545258620689655,1198.0,658.0
89,Brown,Texas,0.12051578773350967,0.8794842122664903,1458.0,10640.0
91,Burnet,Texas,0.2038552364215498,0.7961447635784502,3712.0,14497.0
4,Calaveras,California,0.35932438685793616,0.6406756131420639,7765.0,13845.0
93,Calhoun,Texas,0.2695493704440027,0.7304506295559974,1627.0,4409.0
96,Camp,Texas,0.26742976066597296,0.7325702393340271,1028.0,2816.0
97,Carson,Texas,0.0859277708592777,0.9140722291407223,207.0,2202.0
98,Cass,Texas,0.1850582590815627,0.8149417409184373,1890.0,8323.0
99,Castro,Texas,0.23231058234189106,0.7676894176581089,371.0,1226.0
101,Cherokee,Texas,0.1972418432559704,0.8027581567440296,2932.0,11933.0
102,Childress,Texas,0.11663807890222985,0.8833619210977701,204.0,1545.0
104,Cochran,Texas,0.18154761904761904,0.8184523809523809,122.0,550.0
105,Coke,Texas,0.09042145593869731,0.9095785440613027,118.0,1187.0
106,Coleman,Texas,0.10573823339780787,0.8942617666021921,328.0,2774.0
108,Collingsworth,Texas,0.10836909871244635,0.8916309012875536,101.0,831.0
109,Colorado,Texas,0.20635761589403973,0.7936423841059602,1558.0,5992.0
5,Colusa,California,0.34686795072011106,0.653132049279889,1999.0,3764.0
111,Comanche,Texas,0.14395267309377738,0.8560473269062226,657.0,3907.0
112,Concho,Texas,0.14948453608247422,0.8505154639175257,145.0,825.0
115,Cottle,Texas,0.15913200723327306,0.840867992766727,88.0,465.0
116,Crane,Texas,0.18960538979788258,0.8103946102021174,197.0,842.0
117,Crockett,Texas,0.26555023923444976,0.7344497607655502,333.0,921.0
118,Crosby,Texas,0.28060128847530424,0.7193987115246958,392.0,1005.0
119,Culberson,Texas,0.5656836461126006,0.4343163538873995,422.0,324.0
120,Dallam,Texas,0.11579892280071813,0.8842010771992819,129.0,985.0
122,Dawson,Texas,0.24806982208794898,0.7519301779120511,739.0,2240.0
123,De Witt,Texas,0.15552253590886578,0.8444774640911342,942.0,5115.0
124,Deaf Smith,Texas,0.2555407209612817,0.7444592790387183,957.0,2788.0
7,Del Norte,California,0.4131844380403458,0.5868155619596542,3441.0,4887.0
125,Delta,Texas,0.1578395385422129,0.8421604614577871,301.0,1606.0
127,Dickens,Texas,0.1276595744680851,0.8723404255319149,96.0,656.0
128,Dimmit,Texas,0.6318953323903819,0.36810466760961813,1787.0,1041.0
129,Donley,Texas,0.1060126582278481,0.8939873417721519,134.0,1130.0
130,Duval,Texas,0.6244596999745741,0.3755403000254259,2456.0,1477.0
